misspelling,correct,edit_distance,len_diff
Ab,Albert,4,-4
Ameraca,America,1,0
Amercia,America,2,0
Ameracan,American,1,0
Apirl,April,2,0
Austrain,Austrian,2,0
badcock,Badcock's,2,-2
bechuarnia land,Bechuanaland,3,3
botuania,Botswana,3,0
Cambrige,Cambridge,1,-1
Canda,Canada,1,-1
Chactuquoe,Chautauqua,4,0
Chalktwa,Chautauqua,6,-2
Chaqua,Chautauqua,4,-4
Chata,Chautauqua,5,-5
Chatacqua,Chautauqua,2,-1
Chatacque,Chautauqua,3,-1
Chatalkwa,Chautauqua,4,-1
Chataqua,Chautauqua,2,-2
Chataque,Chautauqua,3,-2
Chataukowa,Chautauqua,4,0
Chataukwa,Chautauqua,3,-1
Chatauwkwa,Chautauqua,4,0
Chateau,Chautauqua,5,-3
Chatocqua,Chautauqua,3,-1
Chatogua,Chautauqua,4,-2
Chatoukouv,Chautauqua,5,0
Chattakqua,Chautauqua,2,0
Chatuaca,Chautauqua,4,-2
Chatwakwa,Chautauqua,5,-1
Chauetouequa,Chautauqua,3,2
Chauta,Chautauqua,4,-4
Chautakye,Chautauqua,4,-1
Chautaqua,Chautauqua,1,-1
Chautauchua,Chautauqua,2,1
Chautiqua,Chautauqua,2,-1
Chautogqwa,Chautauqua,3,0
Chautqua,Chautauqua,2,-2
Chawtakque,Chautauqua,3,0
Chawtawque,Chautauqua,3,0
Cheautauqua,Chautauqua,1,1
Chetdacowa,Chautauqua,6,0
Chetoquoi,Chautauqua,6,-1
Chicahwa,Chautauqua,6,-2
Chictocua,Chautauqua,5,-1
Chicugta,Chautauqua,6,-2
Chistupa,Chautauqua,5,-2
Chitacque,Chautauqua,4,-1
Chitalka,Chautauqua,5,-2
Chitalkwa,Chautauqua,5,-1
Chitaqua,Chautauqua,3,-2
Chitauqua,Chautauqua,2,-1
Chitoqua,Chautauqua,4,-2
Chittiqua,Chautauqua,4,-1
Chochatta,Chautauqua,6,-1
Chottago,Chautauqua,6,-2
Chouativa,Chautauqua,5,-1
Chtacu,Chautauqua,5,-4
Chuatackqua,Chautauqua,4,1
Chuatuaque,Chautauqua,5,0
Chuatuaton,Chautauqua,7,0
Chutaciqwa,Chautauqua,4,0
Chutouko,Chautauqua,5,-2
Cuhtawa,Chautauqua,6,-3
Quatauqua,Chautauqua,3,-1
Schtaka,Chautauqua,6,-3
Shatacua,Chautauqua,4,-2
Shatakiwa,Chautauqua,5,-1
Shataqua,Chautauqua,3,-2
Shautalkwa,Chautauqua,4,0
Shawtachwa,Chautauqua,5,0
Shawtapwa,Chautauqua,5,-1
Shawtowa,Chautauqua,6,-2
Sheto,Chautauqua,8,-5
Shitaka,Chautauqua,6,-3
Showtalkaw,Chautauqua,7,0
Showtalkwa,Chautauqua,6,0
Showtucwa,Chautauqua,6,-1
catauqua,Chautauqua,2,-2
chacactur,Chautauqua,5,-1
chatacuia,Chautauqua,4,-1
chataqua,Chautauqua,2,-2
chataque,Chautauqua,3,-2
chatauchuia,Chautauqua,4,1
chatauqua,Chautauqua,1,-1
chautaucua,Chautauqua,1,0
chetickway,Chautauqua,7,0
chictique,Chautauqua,5,-1
chitacwa,Chautauqua,5,-2
chitiquea,Chautauqua,5,-1
chituaquea,Chautauqua,5,0
chtoawa,Chautauqua,6,-3
sechectaquka,Chautauqua,6,2
shatakwa,Chautauqua,5,-2
shtalkwa,Chautauqua,6,-2
sutalkway,Chautauqua,7,-1
Crist,Christ,1,-1
Christain,Christian,2,0
Chrismas,Christmas,1,-1
Christ mas,Christmas,1,1
Christmis,Christmas,1,0
Cristmus,Christmas,2,-1
cristmas,Christmas,1,-1
Cinderrella,Cinderella,1,1
des.,Dec,2,1
Decmber,December,1,-1
Desember,December,1,0
Doc,Dr,2,1
draculla's,Dracula's,1,1
Dunstan,Dunstan's,2,-2
Ester,Easter,1,-1
ester,Easter,1,-1
Estwood,Eastwood,1,-1
ingish,English,2,-1
inglish,English,1,0
Fab,Feb,1,0
Febuary,February,1,-1
Feburary,February,2,0
feburay,February,3,-1
Franch,French,1,0
feirne,French,5,0
fench,French,1,-1
freach,French,1,0
Firday,Friday,2,0
hallowen,Hallowe'en,2,-2
Hitlar,Hitler,1,0
a,I,1,0
and,I,3,2
are,I,3,2
has,I,3,2
he,I,2,1
if,I,1,1
is,I,1,1
it,I,1,1
iy,I,1,1
ld,I,2,1
we,I,2,1
I'de,I'd,1,1
I'ed,I'd,1,1
I'ld,I'd,1,1
Ile,I'll,2,-1
Ill,I'll,1,-1
I'me,I'm,1,1
I'n,I'm,1,0
im,I'm,1,-1
I'v,I've,1,-1
Iev,I've,2,-1
Indian's,Indians,1,1
Irland,Ireland,1,-1
Iresh,Irish,1,0
Januery,January,1,0
Jaly,July,1,0
Jun,June,1,-1
Lester,Leicester,3,-3
Las Angles,Los Angeles,2,-1
Luks,Luke's,2,-2
Mayfeild,Mayfield,2,0
Meditterranean,Mediterranean,1,1
mis,Miss,1,-1
Munday,Monday,1,0
Mis,Mr,2,1
Mrs,Mr,1,1
Miss,Mrs,2,1
Mixss,Mrs,3,2
